2021-03-29 11:44:08.052 DEBUG  [main] (ClassPathScanningCandidateComponentProvider.java:435) - Identified candidate component class: file [D:\tool\MyTool\JavaWorkspace\Spring\build\classes\course\spring\di\CompactDiscImpl.class]
2021-03-29 11:44:08.053 DEBUG  [main] (ClassPathScanningCandidateComponentProvider.java:435) - Identified candidate component class: file [D:\tool\MyTool\JavaWorkspace\Spring\build\classes\course\spring\di\MediaPlayerImpl.class]
2021-03-29 11:44:08.057 DEBUG  [main] (ClassPathScanningCandidateComponentProvider.java:435) - Identified candidate component class: file [D:\tool\MyTool\JavaWorkspace\Spring\build\classes\course\spring\di\SoldierConfig.class]
2021-03-29 11:44:08.112 DEBUG  [main] (XmlBeanDefinitionReader.java:393) - Loaded 10 bean definitions from class path resource [course/spring/di/appConfig.xml]
2021-03-29 11:44:08.138 DEBUG  [main] (DefaultSingletonBeanRegistry.java:225) - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2021-03-29 11:44:08.177 DEBUG  [main] (ClassPathScanningCandidateComponentProvider.java:435) - Identified candidate component class: file [D:\tool\MyTool\JavaWorkspace\Spring\build\classes\course\spring\di\CompactDiscImpl.class]
2021-03-29 11:44:08.178 DEBUG  [main] (ClassPathScanningCandidateComponentProvider.java:435) - Identified candidate component class: file [D:\tool\MyTool\JavaWorkspace\Spring\build\classes\course\spring\di\MediaPlayerImpl.class]
2021-03-29 11:44:08.179 DEBUG  [main] (ClassPathScanningCandidateComponentProvider.java:435) - Identified candidate component class: file [D:\tool\MyTool\JavaWorkspace\Spring\build\classes\course\spring\di\SoldierConfig.class]
2021-03-29 11:44:08.261 DEBUG  [main] (DefaultSingletonBeanRegistry.java:225) - Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
2021-03-29 11:44:08.265 DEBUG  [main] (DefaultSingletonBeanRegistry.java:225) - Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
2021-03-29 11:44:08.268 DEBUG  [main] (DefaultSingletonBeanRegistry.java:225) - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
2021-03-29 11:44:08.272 DEBUG  [main] (DefaultSingletonBeanRegistry.java:225) - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
2021-03-29 11:44:08.279 DEBUG  [main] (DefaultSingletonBeanRegistry.java:225) - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalPersistenceAnnotationProcessor'
2021-03-29 11:44:08.279 DEBUG  [main] (DefaultSingletonBeanRegistry.java:225) - Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
2021-03-29 11:44:08.374 DEBUG  [main] (DefaultSingletonBeanRegistry.java:225) - Creating shared instance of singleton bean 'appConfig'
2021-03-29 11:44:08.396 DEBUG  [main] (ReflectiveAspectJAdvisorFactory.java:258) - Found AspectJ method: public void course.spring.aop.AlertAnnotation.beforeAttack()
2021-03-29 11:44:08.397 DEBUG  [main] (ReflectiveAspectJAdvisorFactory.java:258) - Found AspectJ method: public void course.spring.aop.AlertAnnotation.afterAttack()
2021-03-29 11:44:08.475 DEBUG  [main] (DefaultSingletonBeanRegistry.java:225) - Creating shared instance of singleton bean 'compactDiscImpl'
2021-03-29 11:44:08.476 DEBUG  [main] (DefaultSingletonBeanRegistry.java:225) - Creating shared instance of singleton bean 'mediaPlayerImpl'
2021-03-29 11:44:08.489 DEBUG  [main] (ConstructorResolver.java:808) - Autowiring by type from bean name 'mediaPlayerImpl' via constructor to bean named 'compactDiscImpl'
2021-03-29 11:44:08.491 DEBUG  [main] (DefaultSingletonBeanRegistry.java:225) - Creating shared instance of singleton bean 'soldierConfig'
2021-03-29 11:44:08.493 DEBUG  [main] (DefaultSingletonBeanRegistry.java:225) - Creating shared instance of singleton bean 'getSoldier'
2021-03-29 11:44:08.507 DEBUG  [main] (DefaultSingletonBeanRegistry.java:225) - Creating shared instance of singleton bean 'getWeapon'
2021-03-29 11:44:08.530 DEBUG  [main] (DefaultSingletonBeanRegistry.java:225) - Creating shared instance of singleton bean 'getAlert'
2021-03-29 11:44:08.547 DEBUG  [main] (DefaultCacheAwareContextLoaderDelegate.java:126) - Storing ApplicationContext [1855610584] in cache under key [[MergedContextConfiguration@248e319b testClass = CDPlayerXmlConfigTest, locations = '{classpath:course/spring/di/appConfig.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextCustomizers = set[[empty]], contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]]
2021-03-29 11:44:08.547 DEBUG  [main] (DefaultContextCache.java:290) - Spring test ApplicationContext cache statistics: [DefaultContextCache@2a2da905 size = 1, maxSize = 32, parentContextCount = 0, hitCount = 0, missCount = 1]
2021-03-29 11:44:08.554 DEBUG  [main] (DefaultCacheAwareContextLoaderDelegate.java:137) - Retrieved ApplicationContext [1855610584] from cache with key [[MergedContextConfiguration@248e319b testClass = CDPlayerXmlConfigTest, locations = '{classpath:course/spring/di/appConfig.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextCustomizers = set[[empty]], contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]]
2021-03-29 11:44:08.555 DEBUG  [main] (DefaultContextCache.java:290) - Spring test ApplicationContext cache statistics: [DefaultContextCache@2a2da905 size = 1, maxSize = 32, parentContextCount = 0, hitCount = 1, missCount = 1]
